nearest_facility_id,nearest_facility_type,acq_date,daily_detections,daily_total_frp_mw,daily_max_frp_mw
L100000102149,coal_power,2025-01-01,1,1.14,1.14
L100000102149,coal_power,2025-01-02,3,4.13,1.46
L100000102149,coal_power,2025-01-03,1,1.33,1.33
L100000102149,coal_power,2025-01-04,3,4.7,2.04
L100000102149,coal_power,2025-01-05,1,2.8,2.8
L100000102149,coal_power,2025-01-06,1,1.54,1.54
L100000102149,coal_power,2025-01-07,1,1.21,1.21
L100000102149,coal_power,2025-01-08,2,6.25,4.12
L100000102149,coal_power,2025-01-09,2,5.04,2.87
L100000102149,coal_power,2025-01-11,1,1.77,1.77
L100000102149,coal_power,2025-01-12,1,1.1,1.1
L100000102149,coal_power,2025-01-13,2,2.28,1.14
L100000102149,coal_power,2025-01-14,2,3.54,2.6
L100000102149,coal_power,2025-01-17,1,1.83,1.83
L100000102149,coal_power,2025-01-18,1,1.74,1.74
L100000102149,coal_power,2025-01-19,1,2.49,2.49
L100000102149,coal_power,2025-01-21,1,1.67,1.67
L100000102149,coal_power,2025-01-22,1,1.28,1.28
L100000102149,coal_power,2025-01-23,1,1.48,1.48
L100000102149,coal_power,2025-01-24,1,2.66,2.66
L100000102149,coal_power,2025-01-25,1,1.99,1.99
L100000102149,coal_power,2025-01-26,1,2.74,2.74
L100000102149,coal_power,2025-01-27,1,2.82,2.82
L100000102149,coal_power,2025-01-28,1,1.53,1.53
L100000102149,coal_power,2025-01-29,1,3.39,3.39
L100000102149,coal_power,2025-01-30,1,1.26,1.26
L100000102149,coal_power,2025-01-31,1,1.18,1.18
L100000102149,coal_power,2025-02-01,1,2.09,2.09
L100000102149,coal_power,2025-02-02,2,3.9699999999999998,2.34
L100000102149,coal_power,2025-02-04,2,3.08,2.1
L100000102149,coal_power,2025-02-05,1,1.73,1.73
L100000102149,coal_power,2025-02-06,1,1.35,1.35
L100000102149,coal_power,2025-02-07,2,4.529999999999999,3.01
L100000102149,coal_power,2025-02-08,1,3.25,3.25
L100000102149,coal_power,2025-02-09,2,4.59,2.78
L100000102149,coal_power,2025-02-10,1,2.55,2.55
L100000102149,coal_power,2025-02-11,1,2.71,2.71
L100000102149,coal_power,2025-02-12,1,2.16,2.16
L100000102149,coal_power,2025-02-13,1,2.18,2.18
L100000102149,coal_power,2025-02-14,2,3.74,3.33
L100000102149,coal_power,2025-02-15,1,2.08,2.08
L100000102149,coal_power,2025-02-16,1,1.18,1.18
L100000102149,coal_power,2025-02-17,2,4.3,2.67
L100000102149,coal_power,2025-02-18,1,1.55,1.55
L100000102149,coal_power,2025-02-19,1,1.6,1.6
L100000102149,coal_power,2025-02-20,2,2.52,1.74
L100000102149,coal_power,2025-02-21,1,1.95,1.95
L100000102149,coal_power,2025-02-22,1,1.56,1.56
L100000102149,coal_power,2025-02-23,2,1.76,0.88
L100000102149,coal_power,2025-02-24,1,1.74,1.74
L100000102149,coal_power,2025-02-25,1,2.37,2.37
L100000102149,coal_power,2025-02-26,2,3.48,1.9
L100000102149,coal_power,2025-02-27,1,1.33,1.33
L100000102149,coal_power,2025-03-01,1,0.92,0.92
L100000102149,coal_power,2025-03-03,1,2.22,2.22
L100000102149,coal_power,2025-03-04,1,1.29,1.29
L100000102149,coal_power,2025-03-05,1,1.45,1.45
L100000102149,coal_power,2025-03-08,1,1.02,1.02
L100000102149,coal_power,2025-03-14,1,2.42,2.42
L100000102149,coal_power,2025-03-16,1,2.26,2.26
L100000102149,coal_power,2025-03-17,1,1.74,1.74
L100000102149,coal_power,2025-03-18,1,2.66,2.66
L100000102149,coal_power,2025-03-19,1,1.57,1.57
L100000102149,coal_power,2025-03-22,1,2.51,2.51
L100000102149,coal_power,2025-03-23,1,1.57,1.57
L100000102149,coal_power,2025-03-24,1,2.3,2.3
