nearest_facility_id,nearest_facility_type,month,detections,active_days,mean_frp_mw,max_frp_mw
L100000102420,coal_power,3,4,1,5.93,6.81
L100000102422,coal_power,2,2,1,1.22,1.56
L100000102423,coal_power,12,1,1,6.8,6.8
L100000102424,coal_power,4,1,1,5.38,5.38
L100000102427,coal_power,3,2,2,1.3099999999999998,2.05
L100000102436,coal_power,4,1,1,9.6,9.6
L100000102437,coal_power,11,1,1,1.21,1.21
L100000102441,coal_power,2,1,1,7.59,7.59
L100000102444,coal_power,1,15,13,1.9713333333333334,3.36
L100000102444,coal_power,2,5,5,2.064,3.54
L100000102444,coal_power,3,16,12,2.124375,5.8
L100000102444,coal_power,4,4,4,3.7775,5.25
L100000102444,coal_power,5,5,5,6.1339999999999995,8.78
L100000102444,coal_power,6,4,3,2.475,3.86
L100000102444,coal_power,7,1,1,3.63,3.63
L100000102444,coal_power,8,1,1,1.22,1.22
L100000102444,coal_power,9,2,2,0.46499999999999997,0.72
L100000102444,coal_power,10,5,5,2.182,3.95
L100000102444,coal_power,11,13,12,1.7369230769230768,3.63
L100000102444,coal_power,12,21,19,1.880952380952381,4.64
L100000102447,coal_power,2,1,1,4.42,4.42
L100000102448,coal_power,1,20,19,0.6965,0.91
L100000102448,coal_power,2,15,14,0.706,1.06
L100000102448,coal_power,3,18,15,0.8405555555555555,1.46
L100000102448,coal_power,4,13,12,0.9753846153846154,1.78
L100000102448,coal_power,5,9,7,0.7477777777777779,1.1
L100000102448,coal_power,8,1,1,0.6,0.6
L100000102448,coal_power,9,2,2,0.76,0.77
L100000102448,coal_power,10,10,10,0.898,1.31
L100000102448,coal_power,11,20,18,0.8415000000000001,1.4
L100000102448,coal_power,12,17,14,0.7605882352941177,1.34
L100000102450,coal_power,2,1,1,9.03,9.03
L100000102452,coal_power,1,1,1,0.54,0.54
L100000102452,coal_power,11,1,1,0.78,0.78
L100000102452,coal_power,12,2,2,0.99,1.01
L100000102454,coal_power,1,1,1,0.44,0.44
L100000102454,coal_power,2,1,1,1.06,1.06
L100000102454,coal_power,3,6,5,1.6883333333333335,4.7
L100000102454,coal_power,4,7,6,3.5585714285714287,5.79
L100000102454,coal_power,5,3,3,2.94,5.5
L100000102454,coal_power,6,1,1,0.21,0.21
L100000102454,coal_power,7,3,2,2.3266666666666667,3.21
L100000102454,coal_power,8,4,3,2.7824999999999998,3.38
L100000102454,coal_power,9,4,3,1.08,1.98
L100000102454,coal_power,10,3,3,0.9166666666666666,1.04
L100000102454,coal_power,11,16,13,1.485625,3.76
L100000102454,coal_power,12,8,8,1.0325,1.86
L100000102456,coal_power,1,2,1,3.24,3.24
L100000102456,coal_power,3,3,1,5.286666666666666,6.0
L100000102457,coal_power,1,7,7,0.9014285714285715,1.09
L100000102457,coal_power,3,5,5,1.1019999999999999,1.35
L100000102457,coal_power,4,1,1,0.93,0.93
L100000102457,coal_power,5,1,1,1.6,1.6
L100000102457,coal_power,6,1,1,1.6,1.6
L100000102457,coal_power,8,1,1,1.09,1.09
L100000102457,coal_power,9,3,3,1.0966666666666667,1.45
L100000102457,coal_power,10,4,4,0.9075000000000001,1.1
L100000102457,coal_power,11,5,5,0.776,1.01
L100000102457,coal_power,12,8,8,0.9625,1.09
L100000102458,coal_power,3,2,2,3.9400000000000004,5.61
L100000102459,coal_power,1,14,11,1.622142857142857,3.69
L100000102459,coal_power,2,3,3,1.39,1.57
L100000102459,coal_power,3,12,10,2.1633333333333336,4.48
L100000102459,coal_power,4,5,3,1.7239999999999998,2.73
L100000102459,coal_power,5,2,2,3.8049999999999997,4.54
L100000102459,coal_power,8,1,1,0.49,0.49
L100000102459,coal_power,9,1,1,1.56,1.56
L100000102459,coal_power,10,4,4,1.7475,3.74
L100000102459,coal_power,11,18,13,1.518888888888889,3.76
